course_name,course_crn,course_id,course_section,course_pre,course_type,course_time,course_days,course_location,course_dates,course_type2,course_professor
BLK BUS CULTURES & IDENTITIES,72175,ANTH 142F,001,ANTH 001/ANTH 001H/ANTH 001W/,Lecture,2:00 pm - 3:20 pm,MW,Gordon Watkins Hall 1350,Apr 03 2023 - Jun 09 2023,Lecture,Worku Nida (P)
GENDER RACE AND MEDICINE,71893,ANTH 144F,001,,Lecture,5:00 pm - 6:20 pm,MW,Sproul Hall 2343,Apr 03 2023 - Jun 09 2023,Lecture,Isabelle Marie Placentia (P)
SEXUALITIES AND CULTURE,72272,ANTH 145,001,GSST 001/GSST 001H/GSST 001S/,Lecture,11:00 am - 12:20 pm,MW,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Lecture,Sherine Hafez (P)
EVOLUTION OF THE GENUS HOMO,69959,ANTH 153,001,ANTH 002/,Lecture,8:00 am - 9:20 am,MW,Gordon Watkins Hall 1350,Apr 03 2023 - Jun 09 2023,Lecture,Maureen Louise Hickey (P)
METHODS IN CULTURAL ANTHROPOLOGY,72176,ANTH 165G,001,ANTH 001/,Lecture,2:00 pm - 3:20 pm,TR,Gordon Watkins Hall 1350,Apr 03 2023 - Jun 09 2023,Lecture,Derick Alden Fay (P)
MUSIC CULTURES OF SOUTHEAST ASIA,72291,ANTH 176,001,,Lecture,3:30 pm - 4:50 pm,MW,Art Building 157,Apr 03 2023 - Jun 09 2023,Lecture,Deborah Wong (P)
GENDER AND POWER IN MUSLIM SOCIETIES,71357,ANTH 189,001,,Lecture,12:30 pm - 1:50 pm,MW,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Lecture,Sherine Hafez (P)
SPECIAL STUDIES,50165,ANTH 190,13N,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Sally Ann Ness (P)
SPECIAL STUDIES,50167,ANTH 190,26T,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Karl A. Taube (P)
SPECIAL STUDIES,50172,ANTH 190,44N,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Hye Jin Nah (P)
SPECIAL STUDIES,63707,ANTH 190,46J,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Anthony Russell Jerry (P)
SPECIAL STUDIES,50173,ANTH 190,51F,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Derick Alden Fay (P)
SPECIAL STUDIES,50175,ANTH 190,55H,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Matthew Clyde Hall (P)
SPECIAL STUDIES,50176,ANTH 190,60L,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Sang-Hee Lee (P)
SPECIAL STUDIES,63711,ANTH 190,B43,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Sara Becker (P)
SPECIAL STUDIES,50161,ANTH 190,M07,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Yolanda T. Moses (P)
SPECIAL STUDIES,50162,ANTH 190,S29,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Christina Lyn Schwenkel (P)
SPECIAL STUDIES,50163,ANTH 190,S73,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Travis William Stanton (P)
SEMINAR IN ANTHROPOLOGY,72177,ANTH 191,001,,Seminar,3:30 pm - 4:50 pm,TR,Gordon Watkins Hall 1350,Apr 03 2023 - Jun 09 2023,Seminar,Matthew Clyde Hall (P)
SENIOR THESIS,50184,ANTH 195A,26T,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Karl A. Taube (P)
SENIOR THESIS,50181,ANTH 195A,M07,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Yolanda T. Moses (P)
SENIOR THESIS,50190,ANTH 195B,26T,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Karl A. Taube (P)
SENIOR THESIS,50187,ANTH 195B,M07,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Yolanda T. Moses (P)
SENIOR THESIS,50196,ANTH 195C,26T,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Karl A. Taube (P)
SENIOR THESIS,61721,ANTH 195C,55H,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Matthew Clyde Hall (P)
SENIOR THESIS,50198,ANTH 195C,60L,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Sang-Hee Lee (P)
SENIOR THESIS,50193,ANTH 195C,M07,,Thesis,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Thesis,Yolanda T. Moses (P)
INTERNSHIP IN ANTHROPOLOGY,50203,ANTH 198I,13N,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Sally Ann Ness (P)
INTERNSHIP IN ANTHROPOLOGY,62003,ANTH 198I,46N,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Worku Nida (P)
INTERNSHIP IN ANTHROPOLOGY,71078,ANTH 198I,51F,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Derick Alden Fay (P)
INTERNSHIP IN ANTHROPOLOGY,50207,ANTH 198I,60L,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Sang-Hee Lee (P)
INTERNSHIP IN ANTHROPOLOGY,50201,ANTH 198I,S29,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Christina Lyn Schwenkel (P)
INTERNSHIP IN ANTHROPOLOGY,71112,ANTH 198I,S73,,Tutorial,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Tutorial,Travis William Stanton (P)
SENIOR HONORS RESEARCH,50212,ANTH 199H,13N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sally Ann Ness (P)
SENIOR HONORS RESEARCH,50216,ANTH 199H,60L,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sang-Hee Lee (P)
SENIOR HONORS RESEARCH,50210,ANTH 199H,M07,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Yolanda T. Moses (P)
CORE THEORY IN ANTHROPOLOGY,70767,ANTH 200C,001,ANTH 200B/,Seminar,9:00 am - 11:50 am,R,Gordon Watkins Hall 1347,Apr 03 2023 - Jun 09 2023,Seminar,Derick Alden Fay (P)
PROFESSIONALISM IN ANTHROPOLOGY,72639,ANTH 210B,001,,Seminar,12:00 pm - 2:50 pm,R,Gordon Watkins Hall 1347,Apr 03 2023 - Jun 09 2023,Seminar,Joao Vargas (P)
MATTER AND MATERIALITY,72178,ANTH 217,001,,Seminar,12:00 pm - 2:50 pm,M,Gordon Watkins Hall 1347,Apr 03 2023 - Jun 09 2023,Seminar,Nawa Sugiyama (P)
MATTER AND MATERIALITY,72179,ANTH 217,002,,Seminar,12:00 pm - 2:50 pm,M,Gordon Watkins Hall 1347,Apr 03 2023 - Jun 09 2023,Seminar,Christina Lyn Schwenkel (P)
ANCIENT MAYA HISTORY AND RELIGION,72173,ANTH 218,001,,Lecture,9:00 am - 11:50 am,T,Gordon Watkins Hall 1347,Apr 03 2023 - Jun 09 2023,Lecture,Karl A. Taube (P)
SEMINAR IN PHYSICAL ANTHROPOLOGY,72537,ANTH 253,001,,Seminar,9:00 am - 11:50 am,M,Gordon Watkins Hall 1347,Apr 03 2023 - Jun 09 2023,Seminar,Roselyn Campbell (P)
DIRECTED STUDIES,50232,ANTH 290,13N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sally Ann Ness (P)
DIRECTED STUDIES,50236,ANTH 290,26T,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Karl A. Taube (P)
DIRECTED STUDIES,63868,ANTH 290,46J,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Anthony Russell Jerry (P)
DIRECTED STUDIES,68840,ANTH 290,51F,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Derick Alden Fay (P)
DIRECTED STUDIES,50240,ANTH 290,54P,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Thomas Patterson (P)
DIRECTED STUDIES,50241,ANTH 290,60W,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christine W. Gailey (P)
DIRECTED STUDIES,50223,ANTH 290,M07,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Yolanda T. Moses (P)
DIRECTED STUDIES,50224,ANTH 290,S17,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Anne H Sutherland (P)
DIRECTED STUDIES,50225,ANTH 290,S29,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christina Lyn Schwenkel (P)
DIRECTED STUDIES,61997,ANTH 290,S73,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Travis William Stanton (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50253,ANTH 291,13N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sally Ann Ness (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,67247,ANTH 291,1S0,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Nawa Sugiyama (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50257,ANTH 291,26T,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Karl A. Taube (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50261,ANTH 291,44N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Hye Jin Nah (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,63813,ANTH 291,46J,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Anthony Russell Jerry (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,61603,ANTH 291,46N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Worku Nida (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,71067,ANTH 291,51F,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Derick Alden Fay (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50262,ANTH 291,54P,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Thomas Patterson (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50263,ANTH 291,55H,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Matthew Clyde Hall (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50264,ANTH 291,60L,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sang-Hee Lee (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50265,ANTH 291,60W,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christine W. Gailey (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,61602,ANTH 291,74T,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Kenichiro Tsukamoto (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,69011,ANTH 291,95V,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Joao Vargas (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,61961,ANTH 291,B43,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sara Becker (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50244,ANTH 291,M07,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Yolanda T. Moses (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50245,ANTH 291,S17,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Anne H Sutherland (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,50246,ANTH 291,S29,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christina Lyn Schwenkel (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,61677,ANTH 291,S73,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Travis William Stanton (P)
INDIVIDUAL STUDIES IN COORDINATED AREAS,71018,ANTH 291,S94,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Jennifer Syvertsen (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50279,ANTH 292,13N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sally Ann Ness (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50283,ANTH 292,26T,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Karl A. Taube (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,68839,ANTH 292,46N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Worku Nida (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50286,ANTH 292,51F,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Derick Alden Fay (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50287,ANTH 292,54P,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Thomas Patterson (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50288,ANTH 292,55H,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Matthew Clyde Hall (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50289,ANTH 292,60L,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sang-Hee Lee (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50290,ANTH 292,60W,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christine W. Gailey (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,61932,ANTH 292,B43,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sara Becker (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50270,ANTH 292,M07,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Yolanda T. Moses (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50271,ANTH 292,S17,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Anne H Sutherland (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,50272,ANTH 292,S29,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christina Lyn Schwenkel (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,61514,ANTH 292,S73,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Travis William Stanton (P)
CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,63849,ANTH 292,S94,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Jennifer Syvertsen (P)
DIRECTED RESEARCH,50302,ANTH 297,13N,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sally Ann Ness (P)
DIRECTED RESEARCH,71016,ANTH 297,1SO,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Nawa Sugiyama (P)
DIRECTED RESEARCH,50306,ANTH 297,26T,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Karl A. Taube (P)
DIRECTED RESEARCH,72680,ANTH 297,30O,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Susan Ossman (P)
DIRECTED RESEARCH,63857,ANTH 297,46J,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Anthony Russell Jerry (P)
DIRECTED RESEARCH,50309,ANTH 297,51F,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Derick Alden Fay (P)
DIRECTED RESEARCH,50310,ANTH 297,54P,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Thomas Patterson (P)
DIRECTED RESEARCH,50311,ANTH 297,60L,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sang-Hee Lee (P)
DIRECTED RESEARCH,50312,ANTH 297,60W,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Christine W. Gailey (P)
DIRECTED RESEARCH,69130,ANTH 297,95V,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Joao Vargas (P)
DIRECTED RESEARCH,63855,ANTH 297,B43,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Sara Becker (P)
DIRECTED RESEARCH,70973,ANTH 297,B75,,Research,TBA,,TBA,Apr 03 2023 - Jun 09 2023,Research,Elizabeth Berger (P)
